Emotion,Text
joy,I went to buy a bicycle with my father. When I wanted to pay     
fear,My mother had fallen down from a ladder when she had been  gathering cherries. Her back was hurt. Just when I arrived     
anger,I was waiting behind a car which was going to leave the parking  place     
sadness,My partner left me after we had been together for a long time.     
disgust,"At a discussion a friend took a \faschistic view\""     "
shame,At a weekend's seminar my trousers suddenly burst     
guilt,When I was driving my motorbike I went into a bend incautiously  and fell down. I was slightly hurt     
joy,Before Christmas I got to know a girl but our relationshop could  not consolidate before the holiday. Therefore it was a big  surprise to get a carefully hand-made present from her. - Our  relationship grew closer.     
anger,I was angry about several drivers who showed an aggressive and  dangerous driving habit.     
sadness,When my grandmother died. I had a very deep relation to her (I  lived with her for several years).     
disgust,Some time ago a girl tried to make me up without any action of my  part. She used all possible means. Although I behaved refusingly  she did not give up for a longer time.     
shame,When I went to the sauna for the first time and there were men  and women.     
guilt,When I was parking my car I was not cautious and bumped into  another car. I caused considerable damage. The driver of the  other car was very angry and I let him insult me because I felt  guilty.     
joy,A person whom I had not seen for a long time called me and  invited me for a party.     
fear,When I was walking on the street     
anger,When I was house-hunting: Another person got a flat that I would  have liked     
guilt,When I shoplifted a pair of earrings from Coles and my Mum caught  me with them in my bag.     
joy,When my mother was tremendous on the phone and we talked for  hours. She was in a good mood.     
fear,When I saw a good male friend unexpectedly after a year     
anger,When I wanted to talk to someone I liked and whom I have been  told likes me (by his brother and even by himself) however he  avoids any confrontation     
sadness,After having left the company of someone who gave me a lot of  support and made me laugh     
disgust,When a boy had continued to use foul language and swearing in  front of a group of my friends.     
shame,When I was about seven or eight I was caught having stolen a  doll's dress from my next-door neighbour.     
guilt,Feeling guilt after greed     
joy,When planning to marry.     
fear,No really strong such emotion. Just falling off to sleep when I  caught sight of a 5 cm diameter spider crawling onto the pillow  beside me.     
anger,My feelings towards would-be in-laws for their participation in  recent broken relationship.     
sadness,Recent break-up of seriors long-term relationship     
disgust,"No very strong such emotion. Treatment of my sister by her  dancing instructor - he is a \user\""     "
shame,After failing a second attempt at Med 4     
guilt,Failure to complete medical course as a result of failing fourth  year twice.     
joy,When Wayne and Sue (close friends) were announced our guardians  at ther wedding.     
fear,Car accident nearly occurred between us and drunk driver coming  in opposite direction it missed us by approx 1 m and collided  (after rolling twice midair) into nearby scrub.     
anger,When boyfriend lied to me.     
sadness,When my boyfriend took me to his father's grave.     
disgust,On boat trip - saw mother giving young child (aprox 6-7 years)  cigarettes.     
shame,When harassed by this boy - it was sexual (refer to GUILT).     
guilt,When in grade 3     
joy,Getting a part-time job.     
fear,Small car accident. Black ice on the road - cars in front of us  started zig-zagging and so did we. Car in front did a 180¦ turn we  followed and ended up in a gully.     
anger,People hunting animals.     
sadness,When my grandfather was sick     
disgust,People spitting in railway stations.     
shame,Falling over.     
guilt,Eating too much I felt guilty afterwards because I knew I  shouldn't have overeaten as I'm putting on too much weight.     
joy,When my last year's second semester results came through - I was  ecstatic.     
fear,I was sleeping in my room but woke in the middle of the night to  think I could hear noises and see shadows moving. I felt that  someone was in the house.     
sadness,My grandfather died. He lived almost as a recluse not caring for  himself as well as he should - Dad and we all helped as much as  we could     
sadness,In my penultimate job I was responsible of a sections with  several employers     
disgust,I assisted to a scene where the police attacked a person that  didn't have his documents. The savagery was too much     
shame,In a party of friends I got completely drunk.     
guilt,Once in my homes yard     
joy,When I get something that seemed very hard like getting a job     
fear,When I had to assume a position which I didn't expect.     
anger,When I was dismissed unjustly from the firm where I worked     
sadness,I felt very sad when I had to give up something that by right was  mine and although I didn't get it     
disgust,The acts of brutal violence in generally disgusts me. Fights     
shame,I felt ashamed when in a certain occasion I had to read a text  and didn't stop stuttering.     
guilt,When I was reproved eighth grade of high school.     
anger,When I talked with a teacher yesterday who     
sadness,The loss of the woman who loved me most till today.     
disgust,In a sexual experience with an unknown woman where after the  sexual act I only could go away without looking backwards.     
shame,When I wanted to kiss a friend and didn't succeed     
guilt,On a telephone talk where I was agressive and stupid without the  least     
joy,When I succeed in writing something I felt and doing it I felt  well and very happy for being able to express to myself something  that was suffocating me.     
fear,When I crashed my car.     
anger,When in a difficult moment I couldn't express myself correctly  and my thought came out with distortions bringing about highly  negative and distorted results.     
sadness,When I heard about the death of somebody I liked very much and I  was not present either to see the person or to try to share my  emotions with other friends.     
disgust,When I saw a woman subjugated by money and not being able to hide  how she hated herself for not having the will power to get out of  such a situation because it was convenient     
shame,When somebody suddenly said something (about me) at a wrong  moment and I didn't agree (at that exact moment I was needing an  extremely positive word).     
shame,When my mother surprised me while masturbating.     
guilt,I forgot to water the flowers in our flat and was rebuked by my  friends who share the flat with me.     
joy,After my final examination at school I was glad that the  examination was over and that I had passed it.     
anger,I was angry with a person who behaved terribly at a ball  offending her relatives.     
sadness,When my grandfather died. When I heard about his death     
disgust,My brother caught a spider and let his frog eat it.     
shame,Once I spoke without thinking very much - it was quite a  nonsense.     
guilt,I was not sure whether I should help an old woman going down a  flight of stairs. I just watched her and saw how difficult it was  for her to do it.     
joy,For about one year I had a rather bad relation with my father.  Last Christmas Eve he invited me to stay withhim and I was very  glad about it. It was a fine evening.     
fear,I live outside Graz - so I have to go by bus. One day I went home  from the bus stop alone. It was dark     
anger,My sister had promised to help me to do a translation from  English into German. But the day I needed her she told me that  she was busy - I was very angry.     
sadness,Several years ago my mother died. She had been ill for a long  time     
disgust,I have a horror of spiders and snakes. On a walk through the wood  I saw the body of a slow-worm (without the head).     
shame,I came home from a party rather drunk. I said things I would  never have said normally. Next morning I was terribly ashamed  about what I had said.     
guilt,An accident happened to my little cousin because I had not taken  enough care of her. She fell on the floor and her hands were  hurt.     
joy,I had a little cat which was very sick. As I liked it very much I  went to a veterinary with it. He told me how to tend it and it  really recovered its health. Everybody said that I had saved its  life.     
anger,As I usually do not start learning until a short time before an  examination     
sadness,A friend told me about his cousin who is my girlfriend. He said  she had treated him in a mean and nasty way. I was surprised  because in front of other people she had always treated him in a  friendly way. I am very sad about it.     
disgust,I went out with my sister     
shame,During the oral part of my final examination I made a mistake in  speaking so that all the teachers laughed at me.     
guilt,There was a time when I did not get on well with my sister. I  always grumbled at her and said bad things about her to my  mother. So my mother always scolded her.     
joy,When I passed my final examination at school.     
fear,When I was on a cave excursion with friends     
anger,When I felt being treated unjustly by a teacher.     
sadness,When my grandmother died; I had a stronger relation to her than  to my mother.     
disgust,When I was molested by an old drunk man.     
shame,When I had a Latin examination in school.     
guilt,When I had drunk too much and nearly got an alcohol poisoning.     
joy,When I met my girlfriend again in another town after a long  separation.     
fear,When I went home alone early in the morning     
anger,A friend was unpunctual     
sadness,When my grandparents moved to another part of the town.     
disgust,At the butcher's I saw an animal which had just been slaughtered;  blood was dripping on the floor.     
shame,In school I was very bad in running long distances and my  class-mates laughed at me for this reason.     
guilt,I had to take care of my little brother. When I met a friend I  did not pay attention to him for a certain time and he was hurt  while he was playing.     
joy,On my birthday     
fear,Once I spent a night with a friend at the secondary school. We  told each other horror stories and suddenly we heard uncanny  noises. I was terribly frightened.     
anger,When we still attended school     
sadness,My friend was pregnant     
disgust,When I attended school     
shame,After a party I spent the night with a friend. We both were  drunk     
guilt,I had to take care of a neighbour's child. I did not look after  it all the time and the child fell down and was hurt. I felt  guilty.     
joy,A very good friend of mine had been away for three months. When  we met again     
fear,One evening my father told me to go into the cellar and get him a  beer. I was terribly frightened at the idea of a man sitting in  the cellar and assaulting me. For my defence I took an empty  bottle with me.     
anger,I had stolen a bottle of rum from a person who knows me well. He  threatened to call the police if I did not pay 500 Shillings.     
sadness,When my uncle died I saw a funeral for the first time. All people  stood around the open grave and cried.     
disgust,At a party I met a girl who drew me to her     
shame,I put my head into the pullover of a girl to see her breasts. The  girl looked at me so that I felt ashamed.     
guilt,My uncle had promised to buy me a bicycle. As time went by and I  had not received it yet     
joy,Several days after my final examination at school     
fear,One night I was lying in my bed awake but I had my eyes closed. I  saw figures with terrible faces and black frocks bending over me  and touching me. I opened my eyes but I could still see them. I  had the feeling that somebody was in the room. It was terrible.  Only when I turned on the light I was able to go to sleep.     
anger,I had arranged with a friend to go with him to Carinthia by car.  We had arranged a place where to meet. I was a bit late and my  friend had left already. I had no money to go by train. I nearly  started to cry because I was so angry - it was very important for  me to go to Carinthia.     
sadness,Our dog had to be shot because he had killed a roe. I liked him  very much and so I could not resign myself to that. I hated the  hunter who shot him.     
disgust,I was sitting in a station-hall and watching a lavatory  attendant. She was very dirty. She started to eat something out  of a dirty cup - it must have been something like lard. Then she  took some breadcrumbs out of the pockets of her apron and ate  them. I had to leave - I felt like vomitting.      
shame,I had to go to the doctor's because of a veneral disease. I told  the doctor that I must have been infected by my boy-friend. This  was not true     
guilt,When we were playing     
joy,My neighbour was not able to set his car in motion because it had  snowed heavily. I helped him - he was thankful and invited me.     
fear,I was skiing with friends and they wanted to ski-jump. I did not  want to be left behind     
anger,At an examination I got a bad mark just because of a small  mistake. When I went to the lector and wanted to talk about that     
sadness,My cut was run over by a car. After searching for a long time I  found her lying in a kerb. I was rather shocked and angry with  the driver.     
disgust,When I watched a report about El Salvador on TV     
shame,At a cross-country race I wanted to take a short-cut (which is  not allowed). I was caught and disqualified. All my friends had  observed that.     
guilt,During a discussion I reacted very aggressively and so I made it  impossible to continue discussing.     
joy,On my birthday I got a present that I had desired for a long  time.     
anger,When I am discussing something with a person and I realize that  the other person is thinking over her own argumentations instead  of listening     
sadness,When we were on holidays my girl-friend had to leave me after 4  weeks and I had to stay in Turkey for some more weeks because I  had a job there.     
disgust,I studied medicine for several semesters. I was always disgusted  when we had the dissecting-course. I cannot understand why some  persons like this course.     
shame,Some time ago we had a tournament in our tennis-club. For  tactical reasons I was chosen to play against a much weaker  player than I am. Although it would have been enough simply to  win the game     
guilt,I had a discussion with my girl-friend. After some time we  started to quarrel and at least - to get the upper hand - I said  that she was not as important to me as she might believe. Some  time later I apologized for that.     
joy,On New Year's Eve I went in a disco with friends. I amused myself  and got to know many other people.     
fear,I had to go to the dentist's. When he touched my tooth with his  drill     
anger,I was very hungry and just wanted to start eating when a friend  called me who usually talks for a long time. I was angry because  I was prevented from eating.     
sadness,My sister     
disgust,On my way to a concert I went with a man who tried to molest me.  At that moment I did not care much but now the impression fills  me with disgust.     
shame,I asked my friend to come with me to a disco because I wanted to  be with a person I know well. But when I amused myself with  others I let my friend sit alone     
guilt,I called my little sister to make her pick up her toy from the  floor. When she still refused after I had asked her for the  fourth time     
joy,I had a singing-lesson     
fear,A teacher wanted to instill a certain opinion and a certain  behaviour into myself     
anger,A friend had promised to call me at a certain time. I expected  his call impatiently but in vain.     
sadness,Years ago on Christmas Eve I felt very sad because I realized for  the first time how I missed my father who had died at Christmas  Years ago.     
disgust,A man whom I like     
shame,It was the time when everybody spoke about and discussed  Hainburg. I was also asked for my opinion. I was ashamed because  I had no firm view of the whole thing and therefor was not able  to join the conversation.     
guilt,I was on a concert-tour and therefor seperated from my  boy-friend. But I needed warmth which was given by a male member  of the orchestra. My feelings towards him were not very deep     
joy,On my 18th birthday I passed the driving-test. I was glad because  I had had to study very much     
fear,At about midnight I had to go by bike through Graz alone. On the  whole it was a distance of several kilometers. A car followed me  through the streets. Only when I went into a one-way street the  car disappeared. The rest of my way home I was very afraid.     
anger,I had studied for almost one week for my physics-examination.  With difficulty I passed the examn. I was angry about the teacher  and also about myself because I had not remembered enough during  the examn and because the time that I spent studying was wasted.     
sadness,I had cared for a horse for 2 years. One day it was sold and I  cried for several days because I was so sad.     
disgust,A friend of mine was telling jokes which I felt to be very  disgusting     
shame,At a carneval-party I smooched with a man - some days later I was  rather ashamed for that.     
guilt,By fun I had a tussle with my sister. Suddenly I obviously hurt  her unintentionally - and she ran out of the room     
joy,During my first week in Graz I met a girl who I had got to know  in the train from Amsterdam to Graz. Although I had considered  her very sympathetic     
fear,"Many years ago I saw the film \Psycho\"" by Hitchcock for the first  time. When I saw the film I was alone and afterwards I hardly  dared to go to bed and hardly was able to sleep.""   "
anger,I had got a bad cold. My father said I must be crazy to go by  motorbike at those temperatures. When I answered him that I did  not care about a cold     
sadness,I was at home alone when I realized that a young roe approached  our house. I hid because I did not want to frighten it. It  limped. Some time later     
disgust,Several years ago I stayed with friends in the mountains for one  week. We lived in a hut and had to cook for ourselves. One day my  friend did not succeed in preparing spaghetti. That dinner was  terrible - nevertheless we all ate rather much and had an  improper and unsavoury conversation.     
shame,My mother and my grandmother were talking about one of my  grandmother's friends whom I hardly know. I gave some deprecatory  comments on him whereupon my grandmother told me that the man had  died recently.     
guilt,When I still went to primary-school     
joy,I had not studied very much for my final examination at school     
fear,When I was 8 years old my tonsils had to be operated on. This is  not a complicated operation     
anger,My parents are divorced     
sadness,I arranged with a friend to go skating the next day. He asked me  to wake him up by telephone at twelve o'clock because we had come  home late in the morning. Next day I called him - he was not at  home. As something like that had happened to me several times  before     
disgust,Whenever I see a spider or a snake I feel disgusted.     
shame,When I had slept with a boy for the first time I felt ashamed for  three reasons. First     
guilt,I had been together with my boy-friend for two and a half years     
joy,My boy-friend told me that he would take me to the training of  the life-saving dogs.     
fear,I was in a dark cellar and saw a glowing red point. I thought  that it was a person with a cigarette - but it was only the red  switch.     
anger,A man treated his dog very badly - he insulted and beated him  until the dog kept lying on the floor with his tail drawn in.     
sadness,A horse which I had liked very much was taken away.     
disgust,On TV I saw a report about church in Amerika. A priest was shown  who was performing miracles in front of the camera - I felt  disgusted.     
guilt,I quarreled with my boy-friend. He said it was unfair that I  always started crying so that he had to give in.     
joy,To be able to prepare myself better for an important examination     
fear,I studied medicine for several semesters and at that time I  developed a great fear of examinations. I was most afraid of my  examination of anatomy. While other students were examined     
anger,When I come home in the evening     
sadness,My son's mother told me that she wanted to move to Vienna and  take the child with her. This means a rather long distance for  me. My whole family was sad and dumbfounded so that my own  feelings were intensified.     
disgust,When a very near person got into an awkward situation but showed  only helplessness and indecision.     
shame,I spent an evening with my girl-friend. When we wanted to go to  bed I was totally drunk. Next morning I felt rather ashamed.     
guilt,I threw away an object     
joy,After a long time I saw my boy-friend again.      
fear,My first public appearance in front of a rathe big audience.     
anger,I was angry about how the government acted concerning Hainburg     
sadness,Death of my father; he died of laryngeal cancer.     
disgust,When I got indecent offers.     
shame,When I bought new skis; I was ashamed to tell the assistant that  I am not good at skiing and therefor bought racing skis.     
guilt,My schoolmates were teasing a pupil who was not able to defend  himself very well; I should have taken his part.     
joy,I thought that I had failed an examination     
fear,Before an examination: I had the fealing that I had not learned  enough.     
anger,Once when I was playing table tennis I was already sure that I  would win      
sadness,My grandfather's funeral.     
disgust,In cinema I saw a film which showed how a person was torn out his  guts when he was still alive.     
shame,I was sitting in a restaurant with friends. They asked me  something which they thought I should know. Actually I know it     
guilt,I had an appointment with a friend. I promised him to meet with  him     
joy,When I had a psychical crisis     
fear,I had climbed on a cherry tree alone and there was a thick  caterpillar beside my fingers. I feel disgusted by caterpillars  and snakes. I was terribly afraid of the caterpillar crawling on  my fingers. Out of the fear I was almost unable to climb down.     
anger,A friend of mine told other people that I was a slattern (because  of an occurence that had happened some time ago). When I heard  about that I was very angry.     
sadness,My grandfather was seriously ill     
disgust,Normally my father never tells vulgar jokes     
shame,When I was 6 or 7 years old     
guilt,When I told my boy-friend     
joy,Unexpectedly I met some persons who I like very much.  Spontaneously they invited me and integrated me within their  group     
fear,After a footballmatch I went home by car     
anger,A friend of mine uses butter instead of oil when he is cooking. I  am always angry about that     
sadness,After some friends had come to see me. They had stayed for  several days and we had got on very well. When they had left     
disgust,I had a quarrel with a friend who lived with me in the same flat.  He moved out. Before he went he invited me and some friends for a  drink. At last he was totally drunk and smelled disgusting.  Besides     
shame,I went to see a friend. There were other people     
guilt,With a group of handicapped people we went to a party. When we  wanted to leave we were not able to find one of these people. I  had told his mother that we would leave at 4.30 p.m.     
joy,I had a quarrel with my fiancT. When he admitted his fault     
fear,After my boy-friend had beaten me for the first time     
anger,I had not eaten anything for 2 days to be able to pay the fine  for my fiancT. But he stayed in another town and spent one  thousand shillings in the restaurant during the same time.     
sadness,I had to give up my love     
disgust,I was insulted without a reason by a drunk man.     
shame,My boyfriend had drunk too much and beaten me. When I had to show  the letter the door     
guilt,I spied on my fiancT and was terribly jealous. Later I saw that  there was no reason for that.     
joy,My sister had a daughter. I saw the baby for the first time  through a pane of glass and she looked at me.     
anger,I bought an aquarium which made me much pleasure. I was watching  the fish when my father came in and asked me how much I had payed  for it. He said he would not pay for the current that it would  require.     
sadness,When I was 9 years old     
disgust,When my grandmother was about 80 years old     
shame,I am left-handed. When I attended the first form     
guilt,When I was 4     
joy,When I was 17     
fear,When we had swimming instruction     
anger,When I played in a chess championship     
sadness,When my flute-teacher was replaced by a new one.     
shame,When I was 12 years old     
guilt,When I shirked the gymnastic lesson I met the director of our  school who asked me what I was doing.     
joy,When I was in a situation which seemed hopeless for me     
fear,I lived in a flat with a couple. The woman was so jealous of me     
anger,I have a very big family. At my grandmother's funeral we all met  and everybody pretended mourning. In reality it was like a  fashion-show: everybody wanted to show himself.     
sadness,Often a dog which is treated very badly by his owner comes to us.     
disgust,After a pleasant evening with friends in my flat     
shame,I look up to my Karate-teacher. When I came to a training lesson  after I had not trained for one week     
guilt,My sisters asked me to fetch them at a discotheque which is 5 km  off. There was a thick fog and snowfall. There was not enough  room in the car for all of them and they asked me to go there  once again. When I did not do that they had a way to make me feel  guilty.     
joy,When I heard that I had passed my final examination at school  (with success).     
fear,Before my final examination.     
anger,When my mother kept me in leading-strings.     
sadness,When my father died.     
disgust,When I worked at the life-saving sevice and saw the first exitus.     
shame,When I made a fool at an examination.     
guilt,When I had wrongly explained someone an important exemple for an  examination.     
joy,Last year I went to see friends in Yugoslavia - two girls with  whom I get along very well.     
fear,Before I went to the urologist's I was afraid for several  reasons: because it was for the first time     
anger,My girl-friend did not understand me; I was angry with myself  because I had problems when we seperated - I could not resign  myself to it.     
sadness,A friend who was 22 years old died.     
shame,I had to pay a fine because of speeding.     
guilt,A friend who was 22 years old     
joy,When we got a young dog.     
fear,I was afraid before I went to the doctor's.     
anger,I had an accident with damage to the car body.     
sadness,My dog died of a cerebral tumor.     
disgust,When I worked at the life-saving service I was disgusted by a  patient whose outward appearance was distasteful.     
guilt,When a classmate wanted to sit down     
joy,When I heard that a good friend     
fear,When I had my first oral examination after a long time;  especially one day before the examination when I had the feeling  that I had not studied enough and had not enough time to make up  for it.     
anger,I heard friends grumbling at me in an adjoining room     
sadness,When my brother died.     
disgust,I read about a murderer who brutalized his victims by cutting  open their stomaches and taking out their bowels.     
shame,When I was a child: I had told my mother a lie and she found it  out.     
guilt,My father had been alone for a long time because my mother and  sister were on holiday. I had not seen him for a long time and  when I finally called him I realized that he had been very sad  about that.     
joy,I unexpectedly got a present from my father.     
fear,When I had to go through lonely streets in the middle of the  night.     
anger,My boy-friend had promised me to come home at about 10 p.m. He  did not return until midnight and had consumed a lot of alcohol.     
sadness,A relative     
shame,Some persons     
guilt,I was looking after my cousin's little daughter; she fell down     
joy,I met again a very good friend whom I had not seen for a long  time.     
fear,I got lost in a foreign town. I did not know the language of that  country and it took me hours to meet my friends again.     
anger,A friend had promised to get me a book which was very important  for my work     
sadness,My dog     
disgust,A drunk man bumped into me and wanted to grip me. Fortunately I  was able to break loose.     
shame,When I stayed on a nudism beach     
guilt,I had a quarrel with my father. He was depressed     
joy,My friend came to see me after she had stayed abroad. I waited at  the station.     
fear,After a motor accident (I was the frong-seat-passenger) I spit  blood.     
anger,At an office an application that I had made was turned down  because of a scrupulous interpretation of the rules.     
sadness,My uncle died - I felt sad at the funeral.     
disgust,I saw a drunk man tottering behind his wife and insulting her  awfully.     
shame,After an oral examination I shook the professor's hand     
guilt,I spread abroad an intimate secret.     
joy,I bought a Christmas present for my girl-friend. On my way home I  was really glad about having found such a suitable thing.     
fear,My fear appeared in the form of jealousy. I was afraid that my  girl-friend had fallen in love with another man     
anger,I was angry when I watched a ski-race. All the Austrian skiers  dropped out.     
sadness,During my holiday I met again a friend who had tried to commit  suicide. She had just left hospital     
disgust,On my way home in the middle of the night I saw a drunk man and a  woman who were quarreling     
shame,My girl-friend and I live in one flat with another couple. We get  along very well and usually we share everything. Once we two were  sitting in our room and eating a cake when the others came in.     
guilt,I was on a visit to friends who have a baby. The baby was crying  in another room     
joy,I went to fetch my girl-friend at the station. When the train  arrived and I saw her descending and running up to me     
fear,When I wanted to go into a house     
anger,My father had bought too many goods for his shop     
sadness,A friend died of cancer when he was 18 years old.     
disgust,At a party I saw two persons having a fight. The aggressions and  the hate between these persons produced an unpleasant impression  on me.     
shame,During a discussion I said something rather stupid and  unnecessary.     
guilt,When I was driving my car     
joy,On my birthday a friend came to see me unexpectedly and brought  me flowers. I usually do not see her very often.     
fear,I was awakened by a dream in the middle of the night. I dreamt  that a stranger was in my house.     
anger,My boy-friend had promised me to come an 10 a.m. - he was 3 hours  late.     
disgust,When I heard about a murder of a 16-year-old girl.     
shame,When I broke the piggy bank of my brother and my mother  discovered that.     
guilt,I was sitting in a restaurant with friends and I knew that in the  meantime my girl-friend must have come to my flat and found the  door closed.     
joy,After I had been away for a long time a friend told me that I had  passed all my written examinations.     
fear,Recently my younger brother disappeared for two days without  leaving a trace. Usually he tells me when he wants to do  something like that     
anger,I played chess with my 12-year-old brother. I made a stupid  mistake - and he won!     
sadness,It was only once that I really felt sad: at my grandfather's  funeral (after a long time of suffering he had died of cancer).     
disgust,3 years ago I served in the army. Once a collegue denounced me  because of a delict     
shame,Once I went home totally drunk and roused all our neighbours from  sleep.     
guilt,When I was in the puberty I smashed the favourite toy of my  little brother because of a fit of rage.     
joy,After I had had a disappointment in my private life     
fear,Before an oral examination - which I did not take eventually.     
anger,A friend had promised me to give me a lift to Graz. To be sure I  called her before we went. She told me that she had just promised  another person to give him a lift.     
sadness,I am sad because some relations to friends are not very good.     
disgust,I think I have hardly had a situation where I felt disgusted.  Perhaps once     
shame,When my boy-friend left me and I wanted to persuade him to stay.     
guilt,I promised my mother to come home on her birthday     
joy,Seeing relations from overseas after a few years.     
fear,Unknown person knocking repeatedly on backdoor when no one else  was at home.     
anger,"Boyfriend \chatting up\"" another girl.""     "
sadness,A friend breaking up with her boyfriend.     
disgust,Accidentally seeing a friend in a compromising situation with a  stranger.     
shame,Parents finding out I smoked.     
guilt,Not thanking relatives for a favor done.     
joy,Emotional reassurances by spouse.     
fear,Movement in bush late at night while camping.     
anger,Heated discussion with spouse concerning new house.     
sadness,Loss of close relative.     
disgust,The price I was charged for work on my car.     
shame,Caused fault in V.C.R. by not following instructions carefully.     
guilt,Losing my temper with my spouse.     
joy,A night spent with a group of friends.     
fear,A car came very close to hitting me whilst I was crossing the  street.     
anger,A friend whom I had gone out of my way to do something for did  not bother to acknowledge my efforts     
sadness,A girlfriend ended our relationship in an abrupt and unexpected  manner.     
disgust,A friend once reacted childishly (he is 23 yearrs old) to my not  responding in his favour to a request     
shame,On one occasion whilst engaging in horseplay with my girlfriend     
guilt,I borrowed money from a friend and did not pay back the debt when  I said I would.     
joy,Getting a phone call from a very old friend.     
fear,Before giving a seminar to a rather large audience.     
anger,Being stopped by the police for a traffic offence which I don't  think I committed.     
sadness,Death of a parent.     
disgust,At a social event when none of the guests would help to serve  food or clear tables. It was all beneath them.     
shame,The mother of a small child found me shaking the child in  exasperation     
joy,The more than satisfactory result of a recently-completed  university subject was communicated to me by phone.     
fear,I was a passenger in a jumbo-jet which was accelerating down the  runway and almost at the point of take-off     
anger,A person walking his dog allowed it to defecate on the footpath  outside my house. Although it had happened before     
sadness,While walking through an old mining area     
disgust,A colleague and I were sitting on a bench next to an old man in a  shopping centre. the old man coughed and spluttered somewhat     
shame,I had promised to contact a friend about a particular matter by a  certain date     
guilt,A neighbour complained about smoke from my backyard incinerator  entering his house after a change of wind direction. I lit the  fire after originally checking that the wind would not blow the  smoke in that direction.     
fear,When I heard that there had been some women raped at uni     
anger,When the person I am going out with let me down in a situation  that I was depending on them     
sadness,When I found out that a person I went to school with had died in  a car accident.     
disgust,When I heard about the way a parent of a friend had mistreated  him     
shame,When I realised that I had become too emotionally involved with  the person I'm going out with     
guilt,When I came very late one night (or morning !) and my parents  were waiting     
joy,One of my friends and I had breakfast in a restaurant. It was  spontaneous and lots of fun.     
fear,I was walking home late at night from lectures and someone  deliberately started following me. It was dark and I was scared.     
anger,At one of my close friends saying she didn't like the way I am  nice to people I don't know     
sadness,Leaving Melbourne to move interstate - leaving relatives and  friends behind.     
disgust,Disgust at a girl I know for continually feeling sorry for herself  and never acting positively to do something about her problems.     
shame,I am ashamed of the horrible way I used to treat my little  sister.     
guilt,Often I forget to give my immediate family birthday presents.     
joy,I noticed that Meryl Streep and I had similar cheekbones and jaw  structure.     
fear,I do not recall being scared in the near past.     
anger,As for disgust.     
sadness,Girl I was fond of did not initiate conversation as I expected in  tutorial.     
disgust,I realised that someone was insidiously attempting to shit me off  I was disgusted with him for doing so     
shame,I do not seem to feel emotion such as shame     
guilt,I cannot recall feeling guilty in the near past. REMARK - SUBJECT MAY NOT HAVE TAKEN THE EXERCISE VERY SERIOUSLY.     
joy,"When I was complimented and called \delightful\"".""     "
fear,When my mother was angry with me over my friends and boyfriend.     
anger,Anger towards my lover for being late.     
sadness,The death of my twin sister - suicide.     
disgust,Disgust with myself for consistently making foolish errors in  communicating with others (asking for 1/2 Kg of nuts when I only  wanted 50 g).     
shame,I had been rude to my mother at a time when she needed  comforting     
guilt,Guilt - because I had not written to my sister for months before  she died.     
joy,My current lover and I had been very busy with work and study and  had not had time alone together for almost a month until one  afternoon recently when we made love for hours and then showered  and ate together.     
fear,A workmate and I had been antagonistic with each other for some  weeks - he had reacted violently to my criticisms of his work  standards.     
anger,I had been having a heated argument with a lover - whose  intention was that we should marry in the near future - and was  rejected by her when I started to cry. When I stopped crying for  a moment she said \There     
sadness,I was alone in my parents' house     
disgust,I discovered some pornographic literature in a workmates drawers.  The literature featured pictures of naked women defecating on one  another.     
shame,Upon returning from a journey of about two weeks duration     
guilt,My mother and father had forbidden me to ride my scooter on the  road     
joy,Blank.     
fear,After going through a glass door     
anger,The mother of a person with whom we had been sharing a housing  accused me of trying to rip her off over payment of bills in the  house.      
sadness,"Watching \11 am\"". They had a programme on the starving refugees.  Their plight was a source of sadness for me.""    "
disgust,A girl with whom I was staying having sex with a person for about  3 nights running     
shame,During an argument an acquaintance accused me of having insulted  her parents by having had sex in their house which they  overheard.     
guilt,A girl whom I hadn't seen for a period of time told me that she  had been pregnant and had an abortion - I was the father.     
joy,When my boyfriend last told me he loved me after I gave him an  impulsive kiss.     
fear,When my boyfriend was leaving to go home one night     
anger,Anger with boyfriend's best friend for alienating me and blaming  me for personality changes in my boyfriend and changes in my  boyfriend's attitude to him and his obvious egoistical attitude  himself in doing so. I also lost one of my best friends - his  girlfriend.     
sadness,Death of paternal grandmother to whom I was very close - died of  cancer.     
disgust,Disgust with oneself after being intoxicated enough to go to bed  with a stranger.     
shame,I feel shame every time I think of very dear friends of mine  abroad who were family to me for a year     
guilt,After being told that an ex-boyfriend had been hurt by my wearing  something he had given me when I was with another guy. I was  unaware of my actions really     
joy,When I thought that my high school love and I had a mutual  emotion.     
fear,I was on my surf ski. Rather large waves to strong current  separated me from my ski and we both began to drift slowly  (actually rather quickly) away to sea. The direction I was  drifting in was taking me straight over a reef on which rather  large sharks were constantly being caught. (I was alone with no  one to help me).     
anger,I was enjoying the company of bird life while I was eating lunch  in a park when a group of people began throwing sticks at some of  the birds - for no reason other than the satisfaction of seeing  them being scared away.     
sadness,When I left my sister's house after staying there for a few days.  She has two little boys     
disgust,When my father revealed inconsistent morals.     
shame,When I woke up after a night of drinking I couldn't remember and  discovered several untoward things had occurred.     
guilt,Leaving home when my mother thought I had no reason to go and  felt that I was rejecting her. She is a constantly depressed  person (a bit of a worry-wort) and I felt guilty about having  given her this additonal problem.     
